keyword,symbol_slug,category_id,category_name,status,note
Wolf tattoo meaning,wolf,animals,Animals,existing,
Lion tattoo meaning,lion,animals,Animals,existing,
Snake tattoo meaning,snake,animals,Animals,existing,
Eagle tattoo meaning,eagle,animals,Animals,existing,
Butterfly tattoo meaning,butterfly,animals,Animals,existing,
Owl tattoo meaning,owl,animals,Animals,existing,
Rose tattoo meaning,rose,flowers,Flowers,existing,
Lotus tattoo meaning,lotus,flowers,Flowers,existing,
Cherry Blossom tattoo meaning,cherry-blossom,flowers,Flowers,existing,
Sunflower tattoo meaning,sunflower,flowers,Flowers,existing,
Peony tattoo meaning,peony,flowers,Flowers,existing,
Phoenix tattoo meaning,phoenix,mythological,Mythological,existing,
Dragon tattoo meaning,dragon,mythological,Mythological,existing,
Koi Fish tattoo meaning,koi-fish,mythological,Mythological,existing,
Griffin tattoo meaning,griffin,mythological,Mythological,existing,
Mermaid tattoo meaning,mermaid,mythological,Mythological,existing,
Mandala tattoo meaning,mandala,geometric,Geometric & Celestial,existing,
Compass tattoo meaning,compass,geometric,Geometric & Celestial,existing,
Moon tattoo meaning,moon,geometric,Geometric & Celestial,existing,
Arrow tattoo meaning,arrow,geometric,Geometric & Celestial,existing,
Star tattoo meaning,star,geometric,Geometric & Celestial,existing,
Infinity tattoo meaning,infinity,geometric,Geometric & Celestial,extended,
Sun tattoo meaning,sun,geometric,Geometric & Celestial,extended,
Galaxy tattoo meaning,galaxy,geometric,Geometric & Celestial,extended,
Comet tattoo meaning,comet,geometric,Geometric & Celestial,extended,
Planet tattoo meaning,planet,geometric,Geometric & Celestial,extended,
Aurora tattoo meaning,aurora,geometric,Geometric & Celestial,extended,
Cross tattoo meaning,cross,religious,Religious & Spiritual,existing,
Eye of Horus tattoo meaning,eye-of-horus,religious,Religious & Spiritual,existing,
Hamsa tattoo meaning,hamsa,religious,Religious & Spiritual,existing,
Om / Aum tattoo meaning,om,religious,Religious & Spiritual,existing,
Tribal tattoo meaning,tribal,cultural,Cultural & Tribal,existing,
Celtic Knot tattoo meaning,celtic-knot,cultural,Cultural & Tribal,existing,
Dreamcatcher tattoo meaning,dreamcatcher,cultural,Cultural & Tribal,existing,
Egyptian Symbols tattoo meaning,egyptian,cultural,Cultural & Tribal,existing,
Tree of Life tattoo meaning,tree-of-life,nature,Nature,existing,
Wave tattoo meaning,wave,nature,Nature,existing,
Mountain tattoo meaning,mountain,nature,Nature,existing,
